filename,fen,check,strategy,visual,stim_id
C1_Images_Frombeautiful.png,2r2r1k/1b5p/p2Q1q2/3p1P2/3Pp3/8/6RP/6RK w - - 0 1,1,0,0,0
C1_Images_SteinitzNN.png,r2q2kr/1p4p1/p1p2R1p/5p2/7P/P3Q3/1P4P1/7K w - - 0 1,1,0,1,1
C1_Images_WinterFriede(Reversed).png,1k6/ppp3pp/3p1b2/1P1P1Q2/3qr3/2R5/P1R4P/1K6 w - - 0 1,1,0,2,2
C2_Images_KekhayovPetrov(Reversed).png,1k6/1b1q2p1/2R4p/2QB4/4Pp2/P4P2/6rP/KR6 w - - 0 1,1,1,3,3
C2_Images_KrauseMeinhardt.png,4rk2/1Q3p1r/1p2bB2/p5Rp/P5pP/6P1/1Pq5/3R2K1 w - - 0 1,1,1,4,4
C2_Images_Replacement4.png,k1n2br1/p1r5/QpP1pp2/3P4/3P3p/2P2PBq/3N1P1P/R3R1K1 w - - 0 1,1,1,5,5
C2_Images_SkujaRozenbergs(Reversed).png,6k1/1p1R1p1p/p5p1/P3n3/5N1P/2P2Q2/5PPK/4rq2 w - - 0 1,1,1,6,6
C3_Images_KazicVukovic(Reversed).png,rk2q2r/p1p2p1p/B1p3p1/3N1b2/3Npp2/5P2/PPP3PP/1K1Rb2R w - - 0 1,1,2,7,7
C3_Images_MalininAndreev(Reversed).png,1k1r4/8/R1p1p2b/1NN1qp2/8/1P3B2/2PP1K2/8 w - - 0 1,1,2,8,8
C3_Images_PodzerovKuntzevic(Reversed).png,k2r3r/pbQ1n2p/7b/2pNN2q/5Bp1/8/PPP4P/1KR1R3 w - - 0 1,1,2,9,9
C3_Images_Replacement3.png,1kr1q3/pp6/1bp5/4N3/5Q1R/8/PP6/K7 w - - 0 1,1,2,10,10
C3_Images_Replacement5.png,3r2k1/pb1q1pp1/1p2pb1p/8/3N4/P2QB3/1P3PPP/1Br1R1K1 w - - 0 1,1,2,11,11
C3_Images_StudybyErcoledelRio(Reversed).png,1rr4k/3qN1b1/2p2n1p/3p1Q2/1P1P3N/2P3P1/5P1P/6K1 w - - 0 1,1,2,12,12
C3_Images_TylorWinter.png,2r1rq2/4b2k/1p2BBbp/p3pQ2/4N3/1P2P3/5PPP/6K1 w - - 0 1,1,2,13,13
C4_Images_BrankaWittwer(Reversed).png,kr4r1/p1pqn1b1/2p1p2p/2Pp2p1/Q2P4/2RB2B1/PP3PPP/1K5R w - - 0 1,1,3,14,14
C4_Images_IvanchukSavchenko(Reversed).png,1k6/pp6/q4p2/3p1B1p/5P1P/1PP1B1R1/r5bK/8 w - - 0 1,1,3,15,15
C4_Images_StrekalovskyShaposhlikov.png,5k2/p4p1r/1n3b2/2p1Qp1p/1q2P3/1B4R1/Pr3PP1/2R2K2 w - - 0 1,1,3,16,16
C5_Images_EasyPosition2.png,r1b2rk1/1pp2ppp/p1np1q2/8/1b2Q3/2PB1N2/PP1B1PPP/RN2K2R w - - 0 1,1,4,17,17
C5_Images_EasyPosition5(Reversed).png,2kr1r2/3bb3/1pp5/4B1p1/2BP3p/8/5P1P/3RRK2 w - - 0 1,1,4,18,18
C5_Images_EasyPosition6.png,1r4rk/6p1/1p5p/4N3/b7/3B4/PP6/K1R5 w - - 0 1,1,4,19,19
NC1_Images_Frombeautiful(Nomate).png,2r2r1k/1b5p/p2Q1qp1/3p1P2/3Pp3/8/6RP/6RK w - - 0 1,0,5,0,20
NC1_Images_SteinitzNN(Nomate).png,3q2kr/1p3pp1/p1p2R1p/5p2/7P/P3Q3/1P4P1/7K w - - 0 1,0,5,1,21
NC1_Images_WinterFriede(Nomate)(Reversed).png,1k6/ppp3pp/3ppb2/1P1P1Q2/3qr3/2R5/P1R4P/1K6 w - - 0 1,0,5,2,22
NC2_Images_KekhayovPetrov(Nomate)(Reversed).png,1k6/1b1q2p1/2R4p/2QB4/1P2Pp2/P4P2/2r3rP/KR6 w - - 0 1,0,6,3,23
NC2_Images_KrauseMeinhardt(Nomate).png,4rk2/1Qp2p1r/1p2bB2/p5Rp/P5pP/6P1/1Pq5/3R2K1 w - - 0 1,0,6,4,24
NC2_Images_Replacement4(Nomate).png,k1n2b2/p1r3r1/QpP1pp2/3P4/3P3p/2P2PBq/3N1P1P/R3R1K1 w - - 0 1,0,6,5,25
NC2_Images_SkujaRozenbergs(Nomate)(Reversed).png,6k1/1p1R1p2/p5pp/P3n3/5N1P/2P2Q2/5PPK/4rq2 w - - 0 1,0,6,6,26
NC3_Images_KazicVukovic(Nomate)(Reversed).png,rk2q2r/p1p2p1p/Bp4p1/3N1b2/3Npp2/5P2/PPP3PP/1K1Rb2R w - - 0 1,0,7,7,27
NC3_Images_MalininAndreev(Nomate)(Reversed).png,1k1r4/p7/R1p1p2b/1NN1qp2/8/1P3B2/2PP1K2/8 w - - 0 1,0,7,8,28
NC3_Images_PodzerovKuntzevic(Nomate)(Reversed).png,k2r3r/pbQ1n2p/3p3b/2pNN2q/5Bp1/8/PPP4P/1KR1R3 w - - 0 1,0,7,9,29
NC3_Images_Replacement3(Nomate).png,1k2q3/ppr5/1bp5/4N3/5Q1R/8/PP6/K7 w - - 0 1,0,7,10,30
NC3_Images_Replacement5(Nomate).png,2r3k1/pb1q1p2/1p2pbpp/8/3N4/P2QB3/1P3PPP/1Br1R1K1 w - - 0 1,0,7,11,31
NC3_Images_StudybyErcoleDelRio(Nomate)(Reversed).png,1rr4k/3qNpb1/2p2n1p/3p1Q2/1P1P3N/2P3P1/5P1P/6K1 w - - 0 1,0,7,12,32
NC3_Images_TylorWinter(Nomate).png,2r1rq2/4b2k/1p2BBb1/p3pQ1p/4N3/1P2P3/5PPP/6K1 w - - 0 1,0,7,13,33
NC4_Images_BrankaWittwer(Nomate)(Reversed).png,kr4r1/p1pqn1b1/2p1p2p/2Pp2p1/Q2P4/1PRB2B1/P4PPP/1K5R w - - 0 1,0,8,14,34
NC4_Images_IvanchukSavchenko(Nomate)(Reversed).png,1k6/pp4p1/q4p2/3p1B1p/5P1P/1PP1B1R1/r5bK/8 w - - 0 1,0,8,15,35
NC4_Images_StrekalovskyShaposhlikov(Nomate).png,5k2/p4p1r/1n3b2/2p1Qp1p/1q2P1p1/1B4R1/Pr3PP1/2R2K2 w - - 0 1,0,8,16,36
NC5_Images_EasyPosition2(Nomate).png,r1b2rk1/1pp2p1p/p1np1qp1/8/1b2Q3/2PB1N2/PP1B1PPP/RN2K2R w - - 0 1,0,9,17,37
NC5_Images_EasyPosition5(Nomate)(Reversed).png,2kr1r2/3bb3/2p5/1p2B1p1/2BP3p/8/5P1P/3RRK2 w - - 0 1,0,9,18,38
NC5_Images_EasyPosition6(Nomate).png,1r4rk/8/1p4pp/4N3/b7/3B4/PP6/K1R5 w - - 0 1,0,9,19,39
